n,comparison,runtime
1000,257459,0.0 
2000,993970,0.0 
3000,2290056,0.0 
4000,3993429,0.0 
5000,6263419,0.0 
6000,8944669,0.0 
7000,12305671,0.0 
8000,16140284,0.0 
9000,20195067,0.0 
10000,25007760,0.0 
11000,30381860,0.0 
12000,36271872,0.0 
13000,41946171,0.0 
14000,48686640,0.0 
15000,56181406,0.0 
16000,64032605,0.0 
17000,72344492,0.0 
18000,81567858,0.0 
19000,90333536,0.0 
20000,100217896,1.0 
21000,111189776,1.0 
22000,121329347,1.0 
23000,132677074,1.0 
24000,144156745,2.0 
25000,156511920,1.0 
26000,168604969,1.0 
27000,181523034,2.0 
28000,195514784,1.0 
29000,211928168,1.0 
30000,224627839,1.0 
31000,241433325,2.0 
32000,254626576,2.0 
33000,274234879,3.0 
34000,289010136,5.0 
35000,304170661,5.0 
36000,324301429,4.0 
37000,343211981,3.0 
38000,361118827,4.0 
39000,379792704,3.0 
40000,399910042,5.0 
41000,419775637,5.0 
42000,439995819,4.0 
43000,461372573,3.0 
44000,482859963,4.0 
45000,506965775,5.0 
46000,530472242,8.0 
47000,552526631,6.0 
48000,580864975,4.0 
49000,603322417,5.0 
50000,624164287,7.0 
51000,650836131,8.0 
52000,677516025,8.0 
53000,704505064,11.0 
54000,725260629,8.0 
55000,760776071,7.0 
56000,784082153,14.0 
57000,811412816,10.0 
58000,842361646,11.0 
59000,871005356,16.0 
60000,899553604,12.0 
61000,932848575,17.0 
62000,958183159,12.0 
63000,990004661,19.0 
64000,1023834103,13.0 
65000,1052823429,21.0 
66000,1089919054,16.0 
67000,1126042939,25.0 
68000,1153528669,21.0 
69000,1188419570,23.0 
70000,1229924480,26.0 
71000,1256419757,33.0 
72000,1296797162,43.0 
73000,1329855444,49.0 
